Camera ID,Location
1001,ECP/MCE/KPE instersection
1002,PIE(Tuas) exit road to KPE(MCE)
1003,PIE(Changi) exit road to KPE(TPE)
1004,PIE(Changi) exit to KPE(TPE)/Sims Way
1005,KPE(TPE) Defu Flyover
1006,KPE(MCE) - KPE(MCE) Tunnel Entrance
1111,TPE(PIE) - Exit 2 to Loyang Ave
1112,TPE(PIE) - Tampines Viaduct
1113,Tanah Merah Coast Road towards Changi
1501,Straits Boulevard to MCE
1502,Slip Road to MCE from Marina Link
1503,MCE(KPE) near Slip road to Central Boulevard
1504,Slip Road from ECP(Sheares) to MCE(AYE)
1505,Slip Road from Marina Coastal Drive to MCE(KPE)
1701,CTE(AYE) - Moulmein Flyover LP448F
1702,CTE(AYE) - Braddell Flyover LP274F
1703,CTE(SLE) - Blk 22 St George's Road
1704,CTE(AYE) - Entrance from Chin Swee Road
1705,CTE(AYE) - Ang Mo Kio Ave 5 Flyover
1706,CTE(AYE) - Yio Chu Kang Flyover
1707,CTE(AYE) - Bukit Merah Flyover
1709,CTE(AYE) - Exit 6 to Bukit Timah Road
1711,CTE(AYE) - Ang Mo Kio Flyover
2701,Woodlands Causeway (Towards Johor)
2702,Woodlands Checkpoint
2703,BKE(PIE) - Chantek Flyover
2704,BKE(Woodlands Checkpoint) - Woodlands Flyover
2705,BKE(PIE) - Dairy Farm Flyover
2706,Entrance from Mandai Rd (Towards Checkpoint)
2707,Exit 5 to KJE (towards PIE)
2708,Exit 5 to KJE (Towards Checkpoint)
3702,ECP(Changi) - Entrance from PIE
3704,ECP(Changi) - Entrance from KPE
3705,ECP(AYE) - Exit 2A to Changi Coast Road
3793,ECP(Changi) - Laguna Flyover
3795,ECP(City) - Marine Parade Flyover
3796,ECP(Changi) - Tanjong Katong Flyover
3797,ECP(City) - Tanjung Rhu
3798,ECP(Changi) - Benjamin Sheares Bridge
4701,AYE(City) - Alexander Road Exit
4702,AYE(Jurong) - Keppel Viaduct
4703,Tuas Second Link
4704,AYE(CTE) - Lower Delta Road Flyover
4705,AYE(MCE) - Entrance from Yuan Ching Rd
4706,AYE(Jurong) - NUS Sch of Computing TID
4707,AYE(MCE) - Entrance from Jln Ahmad Ibrahim
4708,AYE(CTE) - ITE College West Dover TID
4709,Clementi Ave 6 Entrance
4710,AYE(Tuas) - Pandan Garden
4712,AYE(Tuas) - Tuas Ave 8 Exit
4713,Tuas Checkpoint
4714,AYE(Tuas) - Near West Coast Walk
4716,AYE(Tuas) - Entrance from Benoi Rd
4798,Sentosa Tower 1
4799,Sentosa Tower 2
5794,PIE(Jurong) - Bedok North
5795,PIE(Jurong) - Eunos Flyover
5797,PIE(Jurong) - Paya Lebar Flyover
5798,PIE(Jurong) - Kallang Sims Drive Blk 62
5799,PIE(Changi) - Woodsville Flyover
6701,PIE(Changi) - Blk 65A Jln Tenteram (Kim Keat)
6703,PIE(Changi) - Blk 173 Toa Payoh Lorong 1
6704,PIE(Jurong) - Mt Pleasant Flyover
6705,PIE(Changi) - Adam Flyover Special pole
6706,PIE(Changi) - BKE
6708,Nanyang Flyover (Towards Changi)
6710,Entrance from Jln Anak Bukit (Towards Changi)
6711,Entrance from ECP (Towards Jurong)
6712,Exit 27 to Clementi Ave 6
6713,Entrance From Simei Ave (Towards Jurong)
6714,Exit 35 to KJE (Towards Changi)
6715,Hong Kah Flyover (Towards Jurong)
6716,AYE Flyover
7791,TPE(PIE) - Upper Changi Flyover
7793,TPE(PIE) - Entrance to PIE from Tampines Ave 10
7794,TPE(SLE) - TPE Exit KPE
7795,TPE(PIE) - Entrance from Tampines FO
7796,TPE(SLE) - On rooflp of Blk 189A Rivervale Drive 9
7797,TPE(PIE) - Seletar Flyover
7798,TPE(SLE) - LP790F (On SLE Flyover)
8701,KJE(PIE) - Choa Chu Kang West Flyover
8702,KJE(BKE) - Exit To BKE
8704,KJE(BKE) - Entrance From Choa Chu Kang Dr
8706,KJE(BKE) - Tengah Flyover
9701,SLE(TPE) - Lentor Flyover
9702,SLE(TPE) - Thomson Flyover
9703,SLE(Woodlands) - Woodlands South Flyover
9704,SLE(TPE) - Ulu Sembawang Flyover
9705,SLE(TPE) - Beside Slip Road From Woodland Ave 2
9706,SLE(Woodlands) - Mandai Lake Flyover
